,City,Cloud Coverage (%),Country,Humidity (%),Latitude,Longitude,Maximum Temperature (F),Wind Speed (mph)
0,Albany,92,AU,71,-35.02,117.88,54.98,9.19
1,Damghan,12,IR,80,36.17,54.34,38.06,2.59
2,Cherskiy,80,RU,87,68.75,161.3,10.07,6.62
3,Yellowknife,90,CA,86,62.45,-114.38,26.6,3.36
4,Ayagoz,88,KZ,57,47.96,80.43,37.11,9.64
5,Bambous Virieux,75,MU,94,-20.34,57.76,71.6,5.82
6,Ushuaia,40,AR,30,-54.81,-68.31,53.6,9.17
7,Tashtyp,76,RU,80,52.8,89.89,26.13,3.6
8,Ilulissat,68,GL,73,69.22,-51.1,19.4,4.7
9,Tambacounda,0,SN,55,13.77,-13.67,89.6,4.7
10,Hermanus,24,ZA,71,-34.42,19.24,62.63,20.04
11,Umm Lajj,8,SA,100,25.02,37.27,74.78,5.06
12,Hilo,90,US,96,19.71,-155.08,75.02,3.36
13,Qaqortoq,0,GL,57,60.72,-46.03,19.4,8.05
14,Kahului,20,US,55,20.89,-156.47,89.06,8.05
15,College,90,US,81,64.86,-147.8,19.94,4.38
16,General Roca,40,AR,49,-39.03,-67.58,71.6,9.17
17,Cabo San Lucas,20,MX,51,22.89,-109.91,87.8,8.05
18,Okhotsk,8,RU,100,59.36,143.24,19.43,5.06
19,Sao Paulo de Olivenca,0,BR,46,-3.38,-68.87,92.69,2.37
20,Havre-Saint-Pierre,90,CA,100,50.23,-63.6,35.6,4.7
21,Tasiilaq,76,GL,54,65.61,-37.64,28.4,3.36
22,Kedrovyy,40,RU,86,56.17,91.82,33.8,6.71
23,Rikitea,92,PF,100,-23.12,-134.97,67.94,21.27
24,Kodiak,1,US,25,39.95,-94.76,71.06,16.11
25,Punta Arenas,0,CL,32,-53.16,-70.91,53.6,23.04
26,Hithadhoo,92,MV,100,-0.6,73.08,78.33,8.3
27,Nanortalik,0,GL,99,60.14,-45.24,32.16,27.87
28,Hasaki,20,JP,93,35.73,140.83,50.0,3.36
29,Mirnyy,100,RU,74,56.57,36.46,27.84,15.57
30,Busselton,12,AU,100,-33.64,115.35,55.56,18.14
31,Beringovskiy,88,RU,100,63.05,179.32,24.15,8.19
32,Pangody,88,RU,76,65.85,74.49,15.11,7.4
33,Luderitz,76,NA,72,-26.65,15.16,66.2,10.29
34,Hobart,75,AU,62,-42.88,147.33,53.6,6.93
35,Auki,36,SB,100,-8.77,160.7,80.99,4.38
36,Lucea,20,JM,70,18.44,-78.17,86.0,14.99
37,Koudougou,0,BF,69,12.25,-2.37,79.59,2.71
38,Whitehorse,90,CA,92,60.72,-135.06,28.4,3.36
39,Sisimiut,64,GL,100,66.94,-53.67,16.28,0.13
40,Adrar,0,DZ,23,27.87,-0.29,62.6,13.87
41,Aklavik,90,CA,85,68.22,-135.01,21.2,5.82
42,Avarua,90,CK,83,-21.21,-159.78,77.0,17.22
43,Almeirim,12,BR,51,-1.53,-52.58,91.43,4.72
44,Satipo,64,PE,85,-11.26,-74.64,72.84,1.36
45,Ucluelet,75,CA,93,48.94,-125.55,53.6,6.93
46,Vanimo,48,PG,100,-2.67,141.3,83.19,7.74
47,Flinders,0,AU,100,-34.58,150.85,53.6,6.17
48,Kapaa,90,US,87,22.08,-159.32,75.92,3.36
49,New Norfolk,75,AU,62,-42.78,147.06,53.6,6.93
50,Victoria,76,SC,74,-4.62,55.45,82.4,6.93
51,Ponta do Sol,64,CV,100,17.2,-25.09,77.34,13.22
52,Vaini,75,TO,94,-21.2,-175.2,75.2,5.82
53,Alofi,75,NU,78,-19.06,-169.92,80.6,11.41
54,Suntar,32,RU,94,62.16,117.65,31.49,8.3
55,Kaitangata,64,NZ,86,-46.28,169.85,47.69,10.54
56,Ossora,56,RU,94,59.24,163.07,33.56,10.2
57,Mogadishu,0,SO,97,2.04,45.34,80.63,5.28
58,Velikiy Ustyug,80,RU,87,60.76,46.3,28.65,7.74
59,Arman,20,RU,100,59.7,150.17,28.4,2.24
60,Te Anau,88,NZ,100,-45.41,167.72,37.88,7.96
61,Atuona,8,PF,100,-9.8,-139.03,80.09,18.48
62,Coahuayana,0,MX,73,18.62,-100.35,78.6,2.93
